ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994,1995_1999,2000,2001,2002,2003,2004,2005,2006,2007
177,,red,,,,2,2,2,2,2,2,2,2,2,2,2
577,,red,,,9/9/2004,2,2,2,2,2,2,2,0,0,0,0
598,,red,1/?/2006,4/?/2008,,2,2,2,2,2,2,2,2,2,1,1
800,,red,,,4/29/2006,2,2,2,2,2,2,2,2,2,0,0
801,,red,,,,2,2,2,2,2,2,2,2,2,2,2
802,,red,,,,2,2,2,2,2,2,2,2,2,2,2
1504,,red,11/5/2004,,,2,2,2,2,2,2,2,1,1,1,1
1506,,red,6/?/2005,,,2,2,2,2,2,2,2,2,1,1,1
1507,,red,9/16/2004,,,2,2,2,2,2,2,2,1,1,1,1
1509,,red,7/?/2005,,,2,2,2,2,2,2,2,2,1,1,1
1530,,red,11/5/2004,,,2,2,2,2,2,2,2,1,1,1,1
1534,,red,9/?/2004,?/?/2007,,2,2,2,2,2,2,2,1,1,1,1
1541,,red,10/?/2004,12/?/2006,,2,2,2,2,2,2,2,1,1,1,2
1553,,red,7/13/2004,12/?/2006,,2,2,2,2,2,2,2,1,1,1,2
1555,,red,6/30/2004,?/?/2011,,2,2,2,2,2,2,2,1,1,1,1
1556,,red,7/27/2004,,,2,2,2,2,2,2,2,1,1,1,1
1558,,red,11/5/2004,?/?/2014,,2,2,2,2,2,2,2,1,1,1,1
1561,,red,7/?/2004,3/?/2007,,2,2,2,2,2,2,2,1,1,1,1
1562,,red,6/?/2005,?/?/2012,,2,2,2,2,2,2,2,2,1,1,1
1563,,red,6/30/2004,,,2,2,2,2,2,2,2,1,1,1,1
1570,,red,8/?/2004,,,2,2,2,2,2,2,2,1,1,1,2
1574,,red,,,,2,2,2,2,2,2,2,2,2,2,2
1579,,red,,,11/9/2005,2,2,2,2,2,2,2,2,0,0,0
1580,,red,,,4/29/2006,2,2,2,2,2,2,2,2,2,0,0
1582,,red,7/2/2005,?/?/2012,,2,2,2,2,2,2,2,2,1,1,1
1590,,red,11/5/2004,,,2,2,2,2,2,2,2,1,1,1,1
1595,,red,7/26/2004,3/?/2007,,2,2,2,2,2,2,2,1,1,1,1
