ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994,1995_1999,2000,2001,2002,2003,2004,2005,2006,2007
151,,Red,10/?/2002,6/14/2006,,2,2,2,2,2,1,1,1,1,2,2
153,,Red,?/?/2003,,,2,2,2,2,2,2,1,1,1,1,1
155,,Red,12/?/2002,,11/8/2008,2,2,2,2,2,1,1,1,1,1,1
159,,Red,1/?/2002,,?/?/2003,2,2,2,2,2,1,0,0,0,0,0
162,,Red,11/6/2002,,11/8/2008,2,2,2,2,2,1,1,1,1,1,1
163,,Red,1/13/2003,,,2,2,2,2,2,2,1,1,1,1,1
183,,Red,,,,2,2,2,2,2,2,2,2,2,2,2
189,,Red,,,,2,2,2,2,2,2,2,2,2,2,2
193,,Red,8/?/2001,,,2,2,2,2,1,1,1,1,1,1,1
368,,Red,12/?/2001,5/?/2006,,2,2,2,2,1,1,1,1,1,2,2
587,,Red,,,,2,2,2,2,2,2,2,2,2,2,2
650,,Red,,,,2,2,2,2,2,2,2,2,2,2,2
1502,,Red,1/21/2003,,,2,2,2,2,2,2,1,1,1,1,1
1549,,Red,4/22/2003,,,2,2,2,2,2,2,1,1,1,1,1
1564,,Red,1/13/2003,,,2,2,2,2,2,2,1,1,1,1,1
1567,,Red,10/?/2002,11/?/2004,,2,2,2,2,2,1,1,2,2,2,2
